codbco,agencia,banco,cidade,uf,usultalteracao,dtultimalteracao,dtcadastro,agencia_cedente,codbcoblt,convenio,carteira_cobranca,variacao_carteira
459,3282.001,BANCO DO BRASIL,RIO VERDE,,,,,,,,,
460,0171.356,BANCO REAL,JATAI,,,,,,,,,
461,2204.001,BANCO DO BRASIL,JANDAIA-GO,,,,,,,,,
462,0116.001,BANCO DO BRASIL,ACREUNA,,,,,,,,,
463,0023.151,NOSSA CAIXA,SAO PAULO,,,,,,,,,
464,0661.341,ITAU,BARRA DO GARCA,,,,,,,,,
465,3292.237,BRADESCO,BARRA DO GARCA,,,,,,,,,
466,0403,BANCO DO BRASIL,GOIANIA,,,,,,,,,
467,4304.341,ITAU,SHEGO,,,,,,,,,
468,1484.237,BRADESCO,GOIATUBA,,,,,,,,,
469,0098.031,BEG,MAURILANDIA,,,,,,,,,
470,4302.341,ITAU,GOIATUBA,,,,,,,,,
471,0672.409,UNIBANCO,ITUMBIARA,,,,,,,,,
472,0133.031,BEG,TURVELANDIA,,,,,,,,,
473,0546.001,BANCO DO BRASIL,CAIAPONIA,,,,,,,,,
474,0265,BRADESCO,UBERLANDIA,,,,,,,,,
475,4374.341,ITAU,RIO VERDE,,,,,,,,,
476,0903-237,BRADESCO,CASTELANDIA,,,,,,,,,
477,3467-237,BRADESCO,UBERL,,,,,,,,,
478,0041.353,SANTANDER,UBERLANDIA,,,,,,,,,
479,0041-389,MERCANTIL,MINEIROS,,,,,,,,,
480,0529-001,BANCO DO BRASIL,URUACU,,,,,,,,,
481,0565-104,CAIXA ECONOMICA FEDERAL,JATAI,,,,,,,,,
482,0752.001,BANCO DO BRASIL,GOIANIA,,,,,,,,,
483,1055.001,BANCO DO BRASIL,DIONISIO CERQUEIRA-S,,,,,,,,,
484,0208,BRB,BRASILIA,,,,,,,,,
485,0329.392,MERCANTIL,JATAI,,,,,,,,,
486,3776.001,BANCO DO BRASIL,CHAPADAO DO CEU,,,,,,,,,
487,1735.104,CAIXA ECONOMICA FEDERAL,BOM JESUS,,,,,,,,,
488,0578,BRADESCO,JANDAIA,,,,,,,,,
489,0792.104,CAIXA ECONOMICA FEDERAL,GOIANESIA,,,,,,,,,
490,3042.756,BCOOB,ITARUMA,,,,,,,,,
491,4318.341,ITAU,BOM JESUS,,,,,,,,,
492,0157.031,BEG,SAO LUIS DOS MONTES,,,,,,,,,
